scenario,year,group,n_children_weighted,median_nominal_sub,mean_nominal_sub,median_real2026_sub,mean_real2026_sub,median_nominal_subcdctc,mean_nominal_subcdctc,median_real2026_subcdctc,mean_real2026_subcdctc
arpa_cdctc,2051,High-Priced Center-Based,984091.0,28507.0,28955.0,16234.0,16489.0,25319.0,26752.0,14418.0,15234.0
arpa_cdctc,2051,Paid Home-Based,803261.0,17082.0,19848.0,9727.0,11302.0,14792.0,16741.0,8423.0,9533.0
arpa_cdctc,2052,all_paid_formal,3160200.0,17879.0,20561.0,9955.0,11449.0,14716.0,17810.0,8194.0,9917.0
arpa_cdctc,2052,Low-Priced Center-Based,1396516.0,14825.0,14445.0,8255.0,8043.0,11151.0,11580.0,6209.0,6448.0
arpa_cdctc,2052,High-Priced Center-Based,960832.0,28891.0,29392.0,16087.0,16366.0,25846.0,27114.0,14391.0,15098.0
arpa_cdctc,2052,Paid Home-Based,802852.0,17542.0,20632.0,9768.0,11488.0,15209.0,17511.0,8469.0,9750.0
arpa_cdctc,2053,all_paid_formal,3099633.0,18408.0,20970.0,10023.0,11417.0,15178.0,18216.0,8264.0,9918.0
arpa_cdctc,2053,Low-Priced Center-Based,1368622.0,15786.0,14921.0,8595.0,8124.0,11481.0,12048.0,6251.0,6560.0
arpa_cdctc,2053,High-Priced Center-Based,954267.0,29555.0,29729.0,16092.0,16186.0,26538.0,27490.0,14449.0,14967.0
arpa_cdctc,2053,Paid Home-Based,776744.0,18360.0,20868.0,9997.0,11362.0,15637.0,17689.0,8514.0,9631.0
arpa_cdctc,2054,all_paid_formal,3039928.0,18838.0,21549.0,10029.0,11472.0,15616.0,18754.0,8314.0,9984.0
arpa_cdctc,2054,Low-Priced Center-Based,1323693.0,15699.0,15310.0,8358.0,8151.0,11820.0,12344.0,6293.0,6571.0
arpa_cdctc,2054,High-Priced Center-Based,923706.0,29963.0,30663.0,15952.0,16324.0,27249.0,28411.0,14507.0,15125.0
arpa_cdctc,2054,Paid Home-Based,792529.0,18462.0,21348.0,9829.0,11365.0,16078.0,18204.0,8560.0,9692.0
arpa_cdctc,2055,all_paid_formal,3041980.0,19366.0,22089.0,10081.0,11499.0,16130.0,19240.0,8397.0,10016.0
arpa_cdctc,2055,Low-Priced Center-Based,1357953.0,16165.0,15693.0,8415.0,8169.0,12172.0,12693.0,6336.0,6607.0
arpa_cdctc,2055,High-Priced Center-Based,919960.0,31486.0,31543.0,16391.0,16420.0,28099.0,29238.0,14627.0,15220.0
arpa_cdctc,2055,Paid Home-Based,764067.0,19000.0,22076.0,9891.0,11492.0,16534.0,18837.0,8607.0,9806.0
baseline,2026,all_paid_formal,3566717.0,8610.0,10446.0,8610.0,10446.0,8116.0,10006.0,8116.0,10006.0
baseline,2026,Low-Priced Center-Based,1545211.0,7189.0,6570.0,7189.0,6570.0,6642.0,6194.0,6642.0,6194.0
baseline,2026,High-Priced Center-Based,1163592.0,14713.0,15346.0,14713.0,15346.0,14051.0,14856.0,14051.0,14856.0
