"year","epop_m_16plus","epop_m_16_17","epop_m_18_19","epop_m_20_24","epop_m_25_29","epop_m_30_34","epop_m_35_39","epop_m_40_44","epop_m_45_49","epop_m_50_54","epop_m_55_59","epop_m_60_64","epop_m_65plus","epop_f_16plus","epop_f_16_17","epop_f_18_19","epop_f_20_24","epop_f_25_29","epop_f_30_34","epop_f_35_39","epop_f_40_44","epop_f_45_49","epop_f_50_54","epop_f_55_59","epop_f_60_64","epop_f_65plus"
2052,63.6831427971525,17.0414845927595,51.3166384752714,65.782201734333,82.2646121704609,87.2497163403662,88.5072291611984,87.8889582709687,87.4060962002793,86.1445968971362,80.3510319070876,,,55.0494214859147,23.6549358887376,46.1450181196854,63.4484590661732,75.9845430433775,76.6354209062387,77.1916381369717,78.7771210203007,79.7290922754866,79.0362787838514,72.1351731511024,,
2053,63.6468686163138,17.0538964533515,51.373492904908,65.8332897465526,82.3414479993161,87.3265477214338,88.5970950073454,88.0061345102757,87.5205173157844,86.2442934496863,80.5183513081388,,,55.0618600870778,23.6737381356323,46.1916150400136,63.5053066786908,76.0796652164141,76.7368753344951,77.2955675381908,78.9276192124847,79.8915442172501,79.1989008883913,72.3445922178027,,
2054,63.6058215169437,17.0696181434346,51.4337416288512,65.8889391884347,82.4239753710495,87.4149038096615,88.6898597517553,88.1252475469267,87.6397867836415,86.3575409899616,80.6982438433729,,,55.0695146108704,23.6951043252854,46.2408495218697,63.5668139315787,76.1776410546418,76.8517294042193,77.3956477023278,79.0761879406663,80.0617319657642,79.3663629365188,72.5685542752462,,
2055,63.5609560827485,17.0869947482634,51.4965360735245,65.9509746318443,82.512194285661,87.513824212786,88.7884222926908,88.2462973809215,87.767783285732,86.4843395179622,80.8626617519203,,,55.0733418727668,23.7190344576969,46.2936007524299,63.6329808248369,76.2784705580606,76.971369060182,77.4966901757352,79.2218624728444,80.2386885451851,79.5531847589962,72.7828210055275,,
2056,63.5132268974344,17.1076811825833,51.5627248125044,66.0157469330514,82.6042075621912,87.6213881462807,88.8927826301518,88.3673472149164,87.9045068220559,86.6256569613828,81.0145065262846,,,55.0742986882408,23.7455285328667,46.3498687316941,63.7028754303913,76.3831049484009,77.0929229506402,77.603506504766,79.3665722730213,80.4195130279814,79.7409745701912,72.9747884833361,,
2057,63.3385380791849,17.1101635547017,51.5737562690011,66.0111855033889,82.6070533336303,87.6338732457042,88.9063108220449,88.3847783910117,87.9471723227527,86.6759892015051,81.0628647346809,,,54.9652217241953,23.7463831804528,46.3577814162781,63.7038073584654,76.4040318264689,77.1273791715574,77.6314134736119,79.4167383370826,80.5084748056137,79.8406774080937,73.068833156808,,
2058,63.2125330299558,17.1126459268201,51.583939151921,66.0075363596589,82.6098991050694,87.6434771683376,88.9227379122008,88.3983359724191,87.985959141568,86.7224497308489,81.1083214505734,,,54.8896333017427,23.747237828039,46.3648149136861,63.7056712146135,76.4240074828066,77.1580069234839,77.6650942980811,79.4553276171298,80.5897007764955,79.9365082911261,73.1570606339827,,
2059,63.0788913110763,17.1151282989385,51.5932734612644,66.0066240737264,82.6127448765085,87.6521206987077,88.9391650023567,88.4099567564826,88.0218369489722,86.7640706217193,81.1673184648168,,,54.8063903554975,23.7480924756251,46.3727275982701,63.7103308549838,76.4411294739532,77.1848062064196,77.7026243596324,79.483304845164,80.6622239647827,80.0236272757011,73.2578920364681,,
2060,62.9442950084907,17.1176106710569,51.6000620498777,66.0102732174564,82.6146420574679,87.6588434445511,88.9526931942498,88.4206091418741,88.0509270630836,86.8018198018111,81.2417901057471,,,54.7221905937781,23.7489471232112,46.3780027213262,63.7187182076504,76.4553977999087,77.2106483721075,77.7372674933721,79.5093526091958,80.7250773946317,80.1107462602761,73.3761750278451,,
2061,62.809698705905,17.1192655858024,51.6026077706077,66.0184837908489,82.6155906479476,87.6646057981312,88.9633224878801,88.4331983246096,88.0722598134321,86.8395689819028,81.3278677166925,,,54.6360772011106,23.7498017707973,46.3806402828542,63.7271055603169,76.4677636824034,77.2345763033,77.7670990807591,79.531541445223,80.7811619935739,80.2017371997211,73.4944580192222,,
2062,62.6731932359067,17.120920500548,51.604304917761,66.0266943642413,82.6165392384273,87.6694077594479,88.9729854820895,88.445787507345,88.0887442114285,86.8811898727733,81.4081423426303,,,54.5451797310727,23.7506564183835,46.3832778443822,63.7373567691315,76.4772758997071,77.2556328827495,77.795006049605,79.5518008172477,80.8285438099215,80.294664116601,73.6049847488696,,
2063,62.5366877659085,17.1217479579208,51.606850638491,66.0367295094987,82.6174878289069,87.6732493285013,88.9816821768779,88.4583766900805,88.1032892684843,86.9237786913384,81.4739095060492,,,54.4485413681903,23.7515110659696,46.3859154059102,63.7476079779462,76.48488567355,77.2747752277035,77.8209883999098,79.5778485812796,80.8652888919871,80.383719078611,73.6970903569091,,
2064,62.3982731284977,17.1225754152936,51.6085477856443,66.0449400828912,82.6184364193866,87.6770908975547,88.9903788716663,88.469997474144,88.1158949845993,86.9644316545141,81.5203333861096,,,54.3509461898338,23.7515110659696,46.3876737802622,63.7578591867608,76.4905930039322,77.2920033381621,77.8450461316735,79.6096847373185,80.894298167302,80.465030130881,73.763018581611,,
2065,62.2560401562618,17.1234028726664,51.609396359221,66.0540629422161,82.620333600346,87.6809324666081,88.9981092670338,88.4796814608636,88.1265613597735,87.0002449792166,81.554184131987,,,54.250480565055,23.7515110659696,46.3885529674382,63.7671784675014,76.4953491125841,77.3063600968777,77.8671792448961,79.6405561613562,80.9213734909292,80.5337573298235,73.8085866192726,,
